,Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
20,21,F,24,60,1,1.0,,,,,434.7425,173499.86285714287,,,,,409.8507142857143,409.30035714285714,3.0,2.0,505.6535714285714,505.6535714285714,178.57142857142858,259.18928571428575,64.28571428571429,22.0,22.0,4.0,14.0,3.0,0.0,1.0,0.0,0.0,3.607142857142857,0.0
21,22,M,54,0,1,,,,,,2492.1467857142857,,,,,,2423.411071428571,2423.411071428571,7.0,7.0,3587.0782142857142,3587.0782142857142,1392.6821428571427,466.84000000000003,1273.107142857143,29.0,29.0,4.0,12.0,9.0,0.0,1.0,1.0,0.0,1.1071428571428572,30.560357142857146
22,23,M,4,160,1,2.0,4.0,1.0,,,22.967142857142857,25325.437857142857,868.7035714285714,333.4007142857143,,,559.1042857142858,559.0246428571429,4.0,3.0,945.715,945.715,107.14285714285714,529.3792857142857,309.1928571428571,33.0,33.0,1.0,26.0,6.0,0.0,0.0,1.0,0.0,0.0,8.25
23,24,F,29,23,1,,,,,,227.31107142857144,,,,,,1141.0925,1141.0925,3.0,3.0,902.0678571428572,902.0678571428572,0.0,258.425,639.5357142857143,22.0,22.0,0.0,6.0,15.0,,,,,,
24,25,F,97,181,1,,,,,,79.38107142857143,,,,,,813.67,813.67,4.0,4.0,325.21785714285716,325.21785714285716,121.42857142857143,202.53928571428574,0.0,19.0,19.0,5.0,13.0,0.0,,,,,,
25,26,F,27,24,1,,1.0,1.0,,,1868.2342857142855,,61064.28571428572,0.0,,,480.7871428571429,480.7871428571429,3.0,3.0,476.7142857142857,476.7142857142857,457.14285714285717,0.0,16.178571428571427,7.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,M,62,181,1,,,1.0,,,1649.98,,,0.0,,,10491.710714285715,10134.567857142858,4.0,3.0,425.0,67.85714285714286,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,220.4882142857143,0.0,0.0
27,28,F,18,28,1,,,,,,14.606785714285715,,,,,,926.7871428571428,926.7871428571428,2.0,2.0,979.5214285714285,979.5214285714285,0.0,19.2,565.3214285714286,9.0,9.0,0.0,1.0,6.0,,,,,,
28,29,F,60,150,1,,,1.0,,,373.3542857142857,,,0.0,,,199.4935714285714,192.62178571428572,5.0,4.0,385.24357142857144,192.62178571428572,92.85714285714286,0.0,89.28571428571429,8.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.286785714285714,0.0
29,30,M,54,2,1,1.0,2.0,1.0,1.0,,162.48250000000002,0.32392857142857145,0.0,510.77964285714285,26.38357142857143,,4911.420357142857,4839.809642857143,10.0,5.0,3119.2717857142857,2822.118214285714,528.5714285714286,378.5357142857143,2128.636785714286,44.0,19.0,4.0,26.0,9.0,,,,,,
30,31,F,59,97,1,,,,1.0,1.0,2336.8507142857143,,,,613.6017857142857,679.5007142857143,1224.8635714285715,1056.0942857142857,6.0,2.0,2816.695714285714,2697.4814285714283,57.142857142857146,1320.2964285714286,843.8278571428572,46.0,41.0,1.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,M,29,15,2,,,1.0,,1.0,12295.25857142857,,,0.0,,14708.57142857143,2402.4021428571427,1591.587857142857,11.0,8.0,2303.747142857143,1591.587857142857,385.7142857142857,0.0,280.2857142857143,18.0,10.0,4.0,0.0,2.0,,,,,,
32,33,M,71,150,1,,,,,,18635.575357142858,,,,,,730.5721428571429,730.5721428571429,5.0,5.0,635.842857142857,635.842857142857,139.28571428571428,56.73571428571428,436.42857142857144,13.0,13.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,3.25,14.989642857142856
33,34,F,48,104,1,1.0,3.0,1.0,1.0,,188.60857142857142,1343.2589285714287,0.0,0.0,728.6689285714285,,18889.293928571427,18134.3675,11.0,4.0,8458.406428571428,7683.438214285714,1107.142857142857,844.5753571428571,5775.094285714286,54.0,19.0,6.0,33.0,11.0,1.0,0.0,0.0,0.6010714285714285,0.0,0.0
34,35,M,66,31,1,,,1.0,,,14.863214285714287,,,0.0,,,0.039642857142857146,0.039642857142857146,1.0,1.0,698.2428571428571,698.2428571428571,107.14285714285714,290.49285714285713,245.78571428571428,21.0,21.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,F,49,263,1,1.0,2.0,,,,60.99785714285714,1912.6325,3697.8375,,,,7155.630357142857,7142.885,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2380357142857143,0.0,0.0
36,37,F,30,172,1,1.0,,,,,19.013571428571428,3850.1732142857145,,,,,1205.1785714285713,1188.0828571428572,3.0,2.0,889.6303571428572,889.6303571428572,382.14285714285717,265.8803571428571,238.92857142857142,32.0,32.0,12.0,16.0,2.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0
37,38,F,27,12,1,1.0,,,,,6398.112142857143,7908.8832142857145,,,,,987.8585714285715,987.8585714285715,4.0,4.0,957.6796428571428,957.6796428571428,307.14285714285717,219.42964285714285,427.7142857142857,26.0,26.0,4.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,M,78,51,1,,,,,1.0,1548.2375,,,,,286.72357142857146,670.2682142857142,615.5467857142858,4.0,3.0,756.5846428571429,747.6917857142856,196.42857142857142,336.8703571428572,71.42857142857143,35.0,33.0,1.0,28.0,1.0,,,,,,
39,40,M,27,33,1,,,,,,871.7367857142857,,,,,,0.0010714285714285715,0.0010714285714285715,1.0,1.0,18.035714285714285,18.035714285714285,0.0,0.0,18.035714285714285,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,M,20,198,1,,,1.0,,,194.9557142857143,,,1373.3428571428572,,,1638.6285714285714,1638.6285714285714,4.0,4.0,948.9107142857143,948.9107142857143,310.7142857142857,523.9107142857143,107.14285714285714,18.0,18.0,6.0,7.0,1.0,,,,,,
41,42,M,23,4,1,,12.0,,,,875.3714285714286,,0.0,,,,643.1878571428571,643.1878571428571,4.0,4.0,546.6428571428571,546.6428571428571,178.57142857142858,68.53571428571429,296.07142857142856,9.0,9.0,1.0,1.0,6.0,1.0,0.0,0.0,15.275714285714287,0.0,0.0
42,43,F,65,83,1,,,1.0,,,26315.770357142854,,,0.0,,,2230.964285714286,1716.5910714285715,22.0,18.0,2242.764642857143,1812.1853571428571,410.7142857142857,334.59785714285715,551.6428571428571,51.0,37.0,7.0,10.0,13.0,1.0,1.0,0.0,73.04178571428572,1.9642857142857142,0.0
43,44,F,35,51,1,,,,,,186.8460714285714,,,,,,0.19642857142857142,0.19642857142857142,1.0,1.0,362.64285714285717,362.64285714285717,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.464285714285714,0.0
44,45,M,63,52,1,1.0,,,,,0.0,38757.89464285714,,,,,5.913928571428571,0.008571428571428572,2.0,1.0,3.392857142857143,3.392857142857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.393928571428571,5.556785714285715
45,46,M,45,95,1,1.0,1.0,,,,503.99357142857144,3628.3885714285716,1891.0521428571428,,,,2470.3732142857143,2469.470357142857,6.0,5.0,4293.023214285714,2677.9160714285713,964.2857142857143,407.1660714285714,591.8571428571429,35.0,32.0,5.0,9.0,16.0,0.0,1.0,0.0,0.0,7.152500000000001,0.0
46,47,M,45,229,1,1.0,5.0,,,,622.2275,1537.0542857142857,0.0,,,,15.823571428571428,0.10035714285714285,2.0,1.0,1060.3060714285714,1060.3060714285714,0.0,6.073928571428572,1053.375,22.0,22.0,0.0,2.0,19.0,0.0,0.0,1.0,0.0,0.0,4.496071428571429
47,48,M,64,92,1,,5.0,1.0,,,2418.3175,,59721.75928571429,0.0,,,360.97499999999997,360.97499999999997,2.0,2.0,308.5357142857143,308.5357142857143,178.57142857142858,0.0,128.67857142857142,8.0,8.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.8939285714285715,0.0
48,49,F,46,19,2,,,,,,4.145357142857143,,,,,,415.73821428571426,415.73821428571426,9.0,9.0,111.71428571428571,111.71428571428571,0.0,0.0,108.67857142857143,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,15.24642857142857,0.0
49,50,F,33,109,1,,,,,,169.5635714285714,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
50,51,F,67,85,1,1.0,,1.0,,,1856.7185714285715,5.896071428571429,,0.0,,,34.80392857142857,0.0075,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
51,52,F,43,53,1,,,,1.0,,960.5725,,,,0.4642857142857143,,49.799642857142864,0.0,4.0,0.0,36.60321428571429,1.9642857142857142,17.857142857142858,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,53,M,64,125,1,1.0,9.0,1.0,1.0,,0.0,7522.666428571429,83343.19785714286,531.1228571428571,398.34785714285715,,4412.515,4409.652142857142,4.0,3.0,5510.359642857143,5510.359642857143,1157.142857142857,1104.9892857142856,3241.5910714285715,68.0,68.0,8.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,M,38,149,1,,,,,1.0,4.55,,,,,7857.142857142857,864.5207142857143,721.4321428571428,3.0,2.0,663.467857142857,647.7892857142857,0.0,0.0,107.14285714285714,6.0,4.0,0.0,0.0,1.0,,,,,,
54,55,F,51,137,1,,,,,,735.1589285714286,,,,,,1124.0460714285714,1124.0460714285714,5.0,5.0,1104.1785714285713,1104.1785714285713,0.0,0.0,1098.5,13.0,13.0,0.0,0.0,6.0,,,,,,
55,56,M,54,105,1,1.0,,,,,583.7142857142857,2907.094285714286,,,,,977.3978571428571,964.9039285714287,3.0,2.0,478.74571428571426,478.74571428571426,314.2857142857143,164.46,0.0,10.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57,M,28,157,1,,,,,,1155.26,,,,,,134.35750000000002,134.35750000000002,20.0,20.0,183.73499999999999,183.73499999999999,107.14285714285714,34.735,36.57142857142857,6.0,6.0,1.0,2.0,1.0,,,,,,
57,58,F,45,49,1,,6.0,,,,1263.0528571428572,,1793.8999999999999,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
58,59,F,32,149,1,,,,,,5676.246428571429,,,,,,449.7532142857143,449.7532142857143,2.0,2.0,85.44285714285715,85.44285714285715,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,,
59,60,F,20,28,1,,,,,,3891.1160714285716,,,,,,356.4042857142857,356.4042857142857,2.0,2.0,1.9642857142857142,1.9642857142857142,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61,F,14,159,1,,,,,,232.83535714285716,,,,,,0.00035714285714285714,0.00035714285714285714,1.0,1.0,0.8928571428571429,0.8928571428571429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,
61,62,M,51,113,1,,,,,,317.9525,,,,,,321.43321428571426,321.43321428571426,2.0,2.0,261.5,261.5,139.28571428571428,0.0,111.5,4.0,4.0,2.0,0.0,1.0,,,,,,
62,63,M,37,29,1,1.0,2.0,,,,351.8014285714286,17220.452857142856,5616.197857142857,,,,623.8671428571428,353.68071428571426,4.0,2.0,362.6092857142857,362.6092857142857,0.0,0.0,361.28785714285715,4.0,4.0,0.0,0.0,3.0,,,,,,
63,64,F,61,38,1,,,1.0,,,0.7596428571428572,,,0.0,,,1275.8267857142857,1275.8267857142857,5.0,5.0,1449.484642857143,1449.484642857143,535.7142857142857,518.1278571428571,393.03535714285715,51.0,51.0,3.0,42.0,4.0,,,,,,
64,65,F,67,180,1,,,,,,220.45892857142857,,,,,,191.17892857142857,191.17892857142857,4.0,4.0,190.10714285714286,190.10714285714286,75.0,18.571428571428573,85.82142857142857,19.0,19.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66,M,62,91,1,1.0,1.0,,1.0,,101.32392857142858,4104.848928571429,0.0,,671.9992857142857,,2135.977142857143,0.017857142857142856,9.0,1.0,12005.129642857142,9965.385714285714,0.0,962.9582142857143,0.0,23.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,67,F,14,20,1,,,,,,1682.8132142857141,,,,,,632.0292857142857,632.0292857142857,2.0,2.0,69.53571428571429,69.53571428571429,0.0,60.785714285714285,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.190357142857143
67,68,M,54,20,1,,,1.0,,,4714.448214285714,,,0.0,,,874.6642857142857,832.8860714285714,6.0,4.0,815.5914285714287,773.8510714285715,678.5553571428571,34.339285714285715,10.714285714285714,33.0,31.0,13.0,3.0,1.0,0.0,1.0,0.0,0.0,3.5,0.0
68,69,M,41,17,1,,,,,,1909.81,,,,,,3851.0192857142856,3851.0192857142856,3.0,3.0,988.4967857142857,988.4967857142857,135.71428571428572,199.08214285714286,653.7003571428571,21.0,21.0,2.0,10.0,9.0,1.0,0.0,0.0,42.71660714285714,0.0,0.0
69,70,M,38,152,1,,,,,,346.48535714285714,,,,,,1785.7192857142857,1785.7192857142857,3.0,3.0,1731.7975000000001,1731.7975000000001,632.1428571428571,130.44285714285715,937.6046428571428,19.0,19.0,4.0,3.0,10.0,,,,,,
70,71,F,43,15,1,,,1.0,,,53.59607142857143,,,0.0,,,271.43035714285713,271.43035714285713,2.0,2.0,301.5,301.5,178.57142857142858,0.0,120.32142857142857,6.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
71,72,M,47,129,1,,,,,,1377.3742857142859,,,,,,430.82428571428574,430.82428571428574,4.0,4.0,1261.107142857143,1261.107142857143,357.14285714285717,0.0,880.1071428571429,13.0,13.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
72,73,M,87,163,1,1.0,1.0,1.0,,,179.35714285714286,21.01607142857143,53571.42857142857,0.0,,,1283.6885714285713,533.3767857142857,6.0,3.0,1053.6,1053.5960714285713,0.0,0.0,304.51642857142855,4.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.7857142857142858,18.353928571428572
73,74,M,63,20,1,1.0,,,1.0,,736.7660714285714,0.0,,,18.76214285714286,,833.285,793.8325000000001,8.0,3.0,708.3928571428571,706.9642857142857,214.28571428571428,0.0,492.67857142857144,7.0,5.0,3.0,0.0,2.0,,,,,,
74,75,M,59,57,1,1.0,35.0,,,,3707.065714285714,5589.0225,4392.478571428571,,,,503.6742857142857,496.2525,5.0,2.0,511.2857142857143,511.2857142857143,53.57142857142857,188.67857142857142,266.5357142857143,13.0,13.0,1.0,6.0,5.0,1.0,0.0,0.0,0.004821428571428572,0.0,0.0
75,76,F,66,178,1,,,1.0,1.0,1.0,178.30857142857144,,,0.0,886.5778571428572,3447.6735714285714,792.6785714285714,659.2928571428572,7.0,2.0,1587.8096428571428,1559.7360714285714,285.7142857142857,39.42857142857143,0.0,16.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,77,M,71,2,1,,,,,,168.1757142857143,,,,,,1752.8139285714285,1752.8139285714285,2.0,2.0,1470.9864285714286,1470.9864285714286,232.14285714285714,743.915,492.64285714285717,16.0,16.0,1.0,10.0,4.0,,,,,,
77,78,F,24,142,1,,,,,,3684.7542857142857,,,,,,4312.963571428571,4312.963571428571,5.0,5.0,2721.265,2721.265,435.4785714285714,1592.8235714285713,683.6071428571429,64.0,64.0,3.0,47.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
78,79,F,41,75,1,2.0,1.0,,,,340.195,901.5539285714285,4771.731071428571,,,,50.348571428571425,0.00035714285714285714,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,80,M,9,81,1,,,,,,2756.8267857142855,,,,,,25.000357142857144,25.000357142857144,2.0,2.0,18.62142857142857,18.62142857142857,0.0,18.62142857142857,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,81,M,86,19,1,,,,,,5860.190714285714,,,,,,0.0732142857142857,0.0732142857142857,1.0,1.0,3.392857142857143,3.392857142857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,82,F,20,151,1,,1.0,,,,11324.907857142856,,34612.790357142854,,,,1001.5760714285715,1001.5760714285715,4.0,4.0,886.0357142857143,886.0357142857143,357.14285714285717,0.0,525.2857142857143,16.0,16.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,5.396428571428571
82,83,F,43,111,1,3.0,7.0,,,,14.855,90800.88214285715,0.0,,,,569.7671428571429,568.7203571428571,4.0,3.0,225.07142857142858,225.07142857142858,0.0,0.0,224.39285714285714,4.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,5.25,28.685357142857146
83,84,M,66,235,2,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,F,25,60,1,,,1.0,,,364.4975,,,0.0,,,196.49642857142857,196.49642857142857,3.0,3.0,120.25,120.25,71.42857142857143,8.892857142857142,29.214285714285715,6.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
85,86,M,36,31,1,,,,,,34.32214285714286,,,,,,9319.197142857143,9319.197142857143,4.0,4.0,1086.5821428571428,1086.5821428571428,460.7142857142857,0.0,203.67857142857142,15.0,15.0,6.0,0.0,5.0,1.0,0.0,0.0,1.4573214285714287,0.0,0.0
86,87,M,45,58,1,,19.0,,,,826.4403571428572,,1035.577142857143,,,,0.00035714285714285714,0.00035714285714285714,1.0,1.0,3.392857142857143,3.392857142857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.875178571428571,0.0,0.0
87,88,M,21,33,1,,,,,,7153.650000000001,,,,,,127.57214285714285,127.57214285714285,3.0,3.0,110.06428571428572,110.06428571428572,46.42857142857143,62.385714285714286,0.0,12.0,12.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,89,F,40,118,1,1.0,2.0,,,,137.70142857142858,893.1703571428571,1462.0660714285714,,,,1979.1557142857143,1940.126785714286,6.0,5.0,2601.4375,1887.1517857142858,1089.2857142857142,82.43107142857143,715.4350000000001,24.0,23.0,8.0,2.0,13.0,,,,,,
89,90,F,20,81,1,,,,,,649.5714285714286,,,,,,107.1432142857143,107.1432142857143,2.0,2.0,78.95357142857142,78.95357142857142,35.714285714285715,3.382142857142857,35.82142857142857,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,91,M,35,61,1,,,,,,0.0,,,,,,1217.7807142857143,1217.7807142857143,2.0,2.0,1196.107142857143,1196.107142857143,571.4285714285714,503.25,121.42857142857143,29.0,29.0,4.0,23.0,2.0,,,,,,
91,92,M,59,149,1,,,,,,2728.945714285714,,,,,,8921.083214285714,8921.083214285714,6.0,6.0,9175.231071428572,9175.231071428572,0.0,828.6692857142858,5577.774285714286,36.0,36.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
92,93,F,31,8,1,2.0,,1.0,1.0,,8.870357142857143,3655.8189285714284,,23.064285714285713,1.4285714285714286,,2186.5410714285713,1367.827857142857,25.0,17.0,2137.954642857143,1356.1046428571428,32.142857142857146,0.0,220.32142857142858,36.0,16.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,3.392857142857143,0.0
93,94,M,22,189,1,1.0,,,,,8079.0425000000005,7620.556071428572,,,,,527.6478571428571,527.3632142857143,4.0,3.0,367.0892857142857,367.0892857142857,232.14285714285714,79.0,55.30357142857143,7.0,7.0,1.0,2.0,3.0,,,,,,
94,95,M,35,151,1,,,1.0,,1.0,3662.217857142857,,,0.0,,2812.0667857142857,1808.9675,1395.1942857142858,18.0,13.0,2289.280714285714,1895.1942857142858,1214.2857142857142,0.0,60.392857142857146,26.0,17.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.071428571428571
95,96,M,30,151,1,1.0,2.0,,,,22.32857142857143,2077.6125,14285.714285714286,,,,438.7257142857143,438.29857142857145,3.0,2.0,110.35714285714286,110.35714285714286,0.0,0.0,108.57142857142857,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.107142857142857,0.0
96,97,F,71,135,1,1.0,,1.0,,1.0,67.99249999999999,6082.5599999999995,,142.06607142857143,,809.465,3048.8942857142856,2560.7635714285716,20.0,14.0,2644.3185714285714,2314.8832142857145,1057.142857142857,304.33178571428573,433.1928571428571,53.0,44.0,9.0,15.0,10.0,,,,,,
97,98,M,51,150,1,,,1.0,,,468.46964285714284,,,0.0,,,153.57214285714286,153.57214285714286,5.0,5.0,236.5885714285714,236.5885714285714,0.0,7.159999999999999,226.03571428571428,7.0,7.0,0.0,1.0,5.0,,,,,,
98,99,F,68,150,1,,12.0,,,,22.898571428571426,,4689.070357142858,,,,1807.3528571428571,1807.3528571428571,5.0,5.0,1669.2364285714286,1669.2364285714286,0.0,951.415,698.7142857142857,34.0,34.0,0.0,17.0,15.0,,,,,,
