,Sale_MF
733,1.0
465,0.0
414,0.0
931,0.0
168,0.0
237,1.0
764,1.0
575,0.0
14,0.0
963,0.0
792,0.0
204,0.0
710,0.0
334,0.0
21,0.0
161,0.0
692,0.0
175,0.0
327,0.0
843,0.0
639,0.0
918,1.0
765,0.0
352,0.0
898,1.0
8,0.0
651,1.0
641,0.0
629,0.0
959,0.0
769,0.0
40,0.0
685,0.0
179,0.0
84,0.0
238,0.0
181,1.0
492,1.0
17,1.0
34,0.0
413,1.0
371,0.0
361,0.0
279,0.0
887,0.0
861,0.0
93,0.0
280,0.0
698,0.0
402,0.0
669,0.0
81,0.0
823,0.0
46,0.0
567,1.0
51,0.0
852,0.0
214,0.0
856,0.0
364,0.0
607,0.0
860,1.0
690,0.0
786,0.0
59,0.0
535,1.0
400,0.0
471,0.0
151,0.0
129,0.0
699,1.0
649,0.0
531,0.0
250,0.0
632,0.0
9,0.0
801,1.0
800,0.0
82,0.0
571,0.0
806,0.0
830,0.0
608,1.0
518,1.0
872,0.0
198,0.0
294,1.0
368,0.0
950,0.0
855,0.0
